convention,mu,design,n,bits_per_doubling_S,ci_lo,ci_hi,z,p
nesterov_raw,0.9,G6 factorial (T FE),12,-0.08905842844636236,-0.14364447671552735,-0.03447238017719737,-3.1977275844166506,0.0013851506360914414
nesterov_corrected,0.9,G6 factorial (T FE),12,-0.10610127761677976,-0.1952476779735771,-0.01695487725998243,-2.332732247295028,0.019662202594790734
