convention,mu,model,n,n_ages,k,dof,chi2_eff,chi2_eff_per_dof,p_eff,chi2_raw,p_raw,aicc,rmse_bits,saturated,s_rep_nat,params
heavy_ball,0.9,law_pure_multiplier,3,3,0,3,1063.2344200752757,354.4114733584252,3.445415965467616e-230,128652.70615131274,0.0,1063.2344200752757,1.980478370523163,False,0.07081802326957792,{}
heavy_ball,0.9,scaled_multiplier,3,3,1,2,928.1389780464779,464.06948902323893,2.865376518375854e-202,74653.29644871771,0.0,934.1389780464779,1.9080526340813824,False,0.07081802326957792,"{""c"": 0.606492}"
heavy_ball,0.9,constant,3,3,1,2,258.0072783692666,129.0036391846333,9.428255794098779e-57,21393.579784984744,0.0,264.0072783692666,1.0039016964832754,False,0.07081802326957792,"{""c"": 2.619075}"
heavy_ball,0.9,exp_decay,3,3,2,1,21.9709261561503,21.9709261561503,2.768121223719115e-06,239.41905543607973,5.264752950828993e-54,inf,0.29775539148495017,False,0.07081802326957792,"{""c"": 5.801004, ""rho"": 0.920621}"
heavy_ball,0.9,multiplier_times_decay,3,3,2,1,96.48346972193276,96.48346972193276,8.999206102085495e-23,1051.388595175554,1.2148250268653035e-230,inf,0.6239674120460696,False,0.07081802326957792,"{""c"": 2.698259, ""rho"": 0.856204}"
heavy_ball,0.9,power_law,3,3,2,1,0.6782920809356939,0.6782920809356939,0.4101754609635959,15.952332599940883,6.495768438011202e-05,inf,0.051550031298199656,False,0.07081802326957792,"{""c"": 10.069989, ""a"": 0.729057}"
heavy_ball,0.9,sat_exp_to_one,3,3,2,1,0.6361678684224389,0.6361678684224389,0.4251018837806083,82.56378625344077,1.0231451866702412e-19,inf,0.04769797600830983,False,0.07081802326957792,"{""r0_amp"": 12.731773, ""tau"": 6.026109}"
heavy_ball,0.9,saturating_exp,3,3,3,0,2.355179395477022e-05,,,0.0006410165407665684,,inf,0.0003027515156895547,True,0.07081802326957792,"{""r_inf"": 1.08444, ""r0_amp"": 12.756763, ""tau"": 5.388274}"
heavy_ball,0.9,two_regime,3,3,3,0,21.970926156150277,,,239.41905543608013,,inf,0.29775539148495,True,0.07081802326957792,"{""c"": 3.523173, ""Tc"": 1.49272, ""rho"": 0.920621}"
nesterov_corrected,0.8,law_pure_multiplier,3,3,0,3,57.55587271623864,19.18529090541288,1.955438009186957e-12,13493.655599465554,0.0,57.55587271623864,0.4490576390376042,False,0.07081802326957792,{}
nesterov_corrected,0.8,scaled_multiplier,3,3,1,2,23.26266404708567,11.631332023542836,8.883348190522614e-06,4412.847210406549,0.0,29.26266404708567,0.28576657398850813,False,0.07081802326957792,"{""c"": 0.785265}"
nesterov_corrected,0.8,constant,3,3,1,2,23.26266404708567,11.631332023542836,8.883348190522614e-06,4412.847210406549,0.0,29.26266404708567,0.28576657398850813,False,0.07081802326957792,"{""c"": 0.785265}"
nesterov_corrected,0.8,exp_decay,3,3,2,1,0.022128677542039933,0.022128677542039933,0.8817452958705345,1.2004224687647336,0.27323725675185195,inf,0.008906165695411913,False,0.07081802326957792,"{""c"": 0.986405, ""rho"": 0.975166}"
nesterov_corrected,0.8,multiplier_times_decay,3,3,2,1,0.022128677542039933,0.022128677542039933,0.8817452958705345,1.2004224687647336,0.27323725675185195,inf,0.008906165695411913,False,0.07081802326957792,"{""c"": 0.986405, ""rho"": 0.975166}"
nesterov_corrected,0.8,power_law,3,3,2,1,1.073008988107036,1.073008988107036,0.300266774448545,67.45351262537632,2.1571383314745188e-16,inf,0.06207479610573584,False,0.07081802326957792,"{""c"": 1.12737, ""a"": 0.204229}"
nesterov_corrected,0.8,sat_exp_to_one,3,3,2,1,24.376773810626776,24.376773810626776,7.921804778819587e-07,4705.581537325123,0.0,inf,0.2924838429512354,False,0.07081802326957792,"{""r0_amp"": 0.784168, ""tau"": 400.0}"
nesterov_corrected,0.8,saturating_exp,3,3,3,0,5.0745843440047595e-08,,,2.7625718472573964e-06,,inf,1.3489482795230637e-05,True,0.07081802326957792,"{""r_inf"": 0.249435, ""r0_amp"": 4.035301, ""tau"": 42.688843}"
nesterov_corrected,0.8,two_regime,3,3,3,0,0.022128677542039874,,,1.2004224687647258,,inf,0.008906165695411902,True,0.07081802326957792,"{""c"": 0.958459, ""Tc"": 1.142859, ""rho"": 0.975166}"
nesterov_corrected,0.9,law_pure_multiplier,18,4,0,18,242.02851668924043,13.446028704957802,3.3945605788667935e-41,18098.43238796227,0.0,242.02851668924043,0.47096339995492553,False,0.08801013735796014,{}
nesterov_corrected,0.9,scaled_multiplier,18,4,1,17,66.67963576002309,3.922331515295476,7.979367360164604e-08,5355.7822456034,0.0,68.92963576002309,0.24696848242360048,False,0.08801013735796014,"{""c"": 0.757292}"
nesterov_corrected,0.9,constant,18,4,1,17,66.67963576002309,3.922331515295476,7.979367360164604e-08,5355.7822456034,0.0,68.92963576002309,0.24696848242360048,False,0.08801013735796014,"{""c"": 0.757292}"
nesterov_corrected,0.9,exp_decay,18,4,2,16,18.45046261563225,1.1531539134770157,0.2981863270836455,1460.483123235481,0.0,23.25046261563225,0.13028214939186206,False,0.08801013735796014,"{""c"": 0.919536, ""rho"": 0.978049}"
nesterov_corrected,0.9,multiplier_times_decay,18,4,2,16,18.45046261563225,1.1531539134770157,0.2981863270836455,1460.483123235481,0.0,23.25046261563225,0.13028214939186206,False,0.08801013735796014,"{""c"": 0.919536, ""rho"": 0.978049}"
nesterov_corrected,0.9,power_law,18,4,2,16,14.065614768145906,0.8791009230091191,0.5938255690806395,852.7919287020741,3.404225166037795e-171,18.865614768145907,0.11401114750294015,False,0.08801013735796014,"{""c"": 1.076287, ""a"": 0.188557}"
nesterov_corrected,0.9,sat_exp_to_one,18,4,2,16,69.71784841577305,4.3573655259858155,1.1181079559171961e-08,5556.261505689937,0.0,74.51784841577305,0.25254276443374557,False,0.08801013735796014,"{""r0_amp"": 0.754573, ""tau"": 400.0}"
nesterov_corrected,0.9,saturating_exp,18,4,3,15,14.376196056674761,0.958413070444984,0.49721005336574386,924.8735258125382,1.671503692261884e-187,22.090481770960476,0.11527958981113633,False,0.08801013735796014,"{""r_inf"": 0.578547, ""r0_amp"": 1.840315, ""tau"": 8.196945}"
nesterov_corrected,0.9,two_regime,18,4,3,15,18.450462615632247,1.2300308410421499,0.23972412056406323,1460.4831232354802,0.0,26.164748329917963,0.13028214939186206,False,0.08801013735796014,"{""c"": 0.895165, ""Tc"": 1.210171, ""rho"": 0.978049}"
nesterov_corrected,0.95,law_pure_multiplier,3,3,0,3,164.86252682634947,54.95417560878315,1.6355692022364542e-35,92996.91398463686,0.0,164.86252682634947,0.7590613010971807,False,0.07081802326957792,{}
nesterov_corrected,0.95,scaled_multiplier,3,3,1,2,79.15082792534935,39.57541396267467,6.495552495313431e-18,31048.984913995428,0.0,85.15082792534935,0.5280359826080411,False,0.07081802326957792,"{""c"": 0.681274}"
nesterov_corrected,0.95,constant,3,3,1,2,79.15082792534935,39.57541396267467,6.495552495313431e-18,31048.984913995428,0.0,85.15082792534935,0.5280359826080411,False,0.07081802326957792,"{""c"": 0.681274}"
nesterov_corrected,0.95,exp_decay,3,3,2,1,0.012850934144166602,0.012850934144166602,0.909743596186981,0.4772633519673134,0.4896645276031517,inf,0.006836127520048801,False,0.07081802326957792,"{""c"": 1.041185, ""rho"": 0.954587}"
nesterov_corrected,0.95,multiplier_times_decay,3,3,2,1,0.012850934144166602,0.012850934144166602,0.909743596186981,0.4772633519673134,0.4896645276031517,inf,0.006836127520048801,False,0.07081802326957792,"{""c"": 1.041185, ""rho"": 0.954587}"
nesterov_corrected,0.95,power_law,3,3,2,1,4.228410837289955,4.228410837289955,0.039752644521667685,342.5869149885053,1.743784162569209e-76,inf,0.12407480523641892,False,0.07081802326957792,"{""c"": 1.328725, ""a"": 0.375993}"
nesterov_corrected,0.95,sat_exp_to_one,3,3,2,1,82.4001883827289,82.4001883827289,1.111432081283443e-19,33164.575874592214,0.0,inf,0.5385990491075826,False,0.07081802326957792,"{""r0_amp"": 0.680463, ""tau"": 400.0}"
nesterov_corrected,0.95,saturating_exp,3,3,3,0,7.073824598871577e-07,,,2.718708132543589e-05,,inf,5.07229314793324e-05,True,0.07081802326957792,"{""r_inf"": 0.006129, ""r0_amp"": 172.523038, ""tau"": 98.791366}"
nesterov_corrected,0.95,two_regime,3,3,3,0,0.012850934144166486,,,0.47726335196724495,,inf,0.006836127520048768,True,0.07081802326957792,"{""c"": 0.954217, ""Tc"": 1.876699, ""rho"": 0.954587}"
nesterov_raw,0.5,law_pure_multiplier,2,2,0,2,143.38064805273433,71.69032402636716,7.333104425088022e-32,2658.0503746185004,0.0,143.38064805273433,0.9405707069669353,False,0.07081802326957792,{}
nesterov_raw,0.5,scaled_multiplier,2,2,1,1,0.4852109802200971,0.4852109802200971,0.48607138972424424,6.473320980821776,0.010950571561704764,inf,0.05667561201566353,False,0.07081802326957792,"{""c"": 0.518392}"
nesterov_raw,0.5,constant,2,2,1,1,0.4791207148026262,0.4791207148026262,0.48882086683545645,6.392069227434372,0.011463132666065235,inf,0.05631879868184933,False,0.07081802326957792,"{""c"": 1.036572}"
nesterov_raw,0.5,exp_decay,2,2,2,0,3.842288971544171e-31,,,4.6976263716139464e-30,,inf,5.0800720595343816e-17,True,0.07081802326957792,"{""c"": 1.089575, ""rho"": 0.999486}"
nesterov_raw,0.5,multiplier_times_decay,2,2,2,0,3.687333064004435e-29,,,3.4819250135847084e-28,,inf,5.065062034502606e-16,True,0.07081802326957792,"{""c"": 0.545071, ""rho"": 0.999483}"
nesterov_raw,0.5,power_law,2,2,2,0,2.2953714792118678e-30,,,2.1511267441594237e-29,,inf,1.2642931613662695e-16,True,0.07081802326957792,"{""c"": 1.155656, ""a"": 0.027804}"
nesterov_raw,0.5,sat_exp_to_one,2,2,2,0,1.097047336412514e-06,,,2.9796692015516353e-05,,inf,7.713589293242731e-05,True,0.07081802326957792,"{""r0_amp"": 1.104558, ""tau"": 47.742117}"
nesterov_raw,0.8,law_pure_multiplier,3,3,0,3,802.9145362276921,267.63817874256404,1.0095744490052159e-173,432702.1707117551,0.0,802.9145362276921,1.6792459427121342,False,0.07081802326957792,{}
nesterov_raw,0.8,scaled_multiplier,3,3,1,2,301.5371932882254,150.7685966441127,3.3268286521282206e-66,107523.00960268211,0.0,307.5371932882254,1.0316428617615243,False,0.07081802326957792,"{""c"": 0.395974}"
nesterov_raw,0.8,constant,3,3,1,2,108.39792286186182,54.19896143093091,2.8952770355186103e-24,41573.33641397831,0.0,114.39792286186182,0.6182332958532673,False,0.07081802326957792,"{""c"": 1.408044}"
nesterov_raw,0.8,exp_decay,3,3,2,1,6.535835826942522,6.535835826942522,0.010572253765300615,255.3829747818691,1.7416123814899772e-57,inf,0.1535261944793549,False,0.07081802326957792,"{""c"": 2.276904, ""rho"": 0.948643}"
nesterov_raw,0.8,multiplier_times_decay,3,3,2,1,32.248659088274,32.248659088274,1.3565067004953466e-08,1260.092619943065,5.318131742720991e-276,inf,0.34102620195844663,False,0.07081802326957792,"{""c"": 0.865057, ""rho"": 0.917847}"
nesterov_raw,0.8,power_law,3,3,2,1,7.706342690925846e-05,7.706342690925846e-05,0.992995798327219,0.0070146906348917785,0.9332522209288442,inf,0.0005269050738635984,False,0.07081802326957792,"{""c"": 3.148546, ""a"": 0.452698}"
nesterov_raw,0.8,sat_exp_to_one,3,3,2,1,9.566210062713514,9.566210062713514,0.001981915172829656,6172.826763278054,0.0,inf,0.18265681256995522,False,0.07081802326957792,"{""r0_amp"": 4.137665, ""tau"": 3.852014}"
