stratum,convention,mu,campaign,control_campaign,pair_type,scale,T,H,S,eta_ratio,r,r_ci_lo,r_ci_hi,se_log_r,M_code,r_over_M,log2_r,log2_r_over_M,noise_eligible,momentum_point_id,control_point_id
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,10,256,2560,0.0760531397128781,0.7605313971287812,0.7045900340630661,0.7966671982578438,0.027095981208739774,1.0,0.7605313971287812,-0.3949202867180148,-0.3949202867180148,True,G6:135M:T10:mu0.9:corrected:H256:S2560,G6:135M:T10:mu0:mu0:H256:S2560
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,10,512,5120,0.07039414678750848,0.7039414678750849,0.6868164993184485,0.7219599888240495,0.009306032501399119,1.0,0.7039414678750849,-0.5064726198841271,-0.5064726198841271,True,G6:135M:T10:mu0.9:corrected:H512:S5120,G6:135M:T10:mu0:mu0:H512:S5120
nesterov_corrected:mu0.9,nesterov_corrected,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,10,512,5120,0.07480014393108916,0.7480014393108918,0.7264348625402224,0.7689918729361597,0.010528476838747814,1.0,0.7480014393108918,-0.4188870487254021,-0.4188870487254021,True,TP-v3:135M:T10:mu0.9:corrected:H512:S5120,TP-v3:135M:T10:mu0:corrected:H512:S5120;TP-v3:135M:T10:mu0:raw:H512:S5120
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,10,1024,10240,0.06286444104220637,0.6286444104220639,0.6122951265058445,0.6428816751008226,0.008817024850540497,1.0,0.6286444104220639,-0.6696839003318419,-0.6696839003318419,True,G6:135M:T10:mu0.9:corrected:H1024:S10240,G6:135M:T10:mu0:mu0:H1024:S10240
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,20,128,2560,0.07297100979961979,0.729710097996198,0.6861290566624263,0.7610181203771282,0.019914180095093294,1.0,0.729710097996198,-0.45460467644574104,-0.45460467644574104,True,G6:135M:T20:mu0.9:corrected:H128:S2560,G6:135M:T20:mu0:mu0:H128:S2560
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,20,256,5120,0.06445537718302326,0.6445537718302328,0.6103603103998253,0.664131666886128,0.01567071456477293,1.0,0.6445537718302328,-0.6336273745986101,-0.6336273745986101,True,G6:135M:T20:mu0.9:corrected:H256:S5120,G6:135M:T20:mu0:mu0:H256:S5120
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,20,512,10240,0.054404070250955956,0.5440407025095597,0.5301752223087361,0.5585436997600021,0.009505478250602085,1.0,0.5440407025095597,-0.878213503867601,-0.878213503867601,True,G6:135M:T20:mu0.9:corrected:H512:S10240,G6:135M:T20:mu0:mu0:H512:S10240
nesterov_corrected:mu0.9,nesterov_corrected,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,20,512,10240,0.05306260061050815,0.5306260061050816,0.5156184764863517,0.5584826793969829,0.015588360708442666,1.0,0.5306260061050816,-0.9142327107655057,-0.9142327107655057,False,TP-v3:135M:T20:mu0.9:corrected:H512:S10240,TP-v3:135M:T20:mu0:corrected:H512:S10240;TP-v3:135M:T20:mu0:raw:H512:S10240
nesterov_corrected:mu0.95,nesterov_corrected,0.95,G8,G8,within_campaign,135M,2,512,1024,0.04768080769917081,0.9536161539834154,0.9258752396548112,0.9808644162418585,0.010671007915968228,1.0,0.9536161539834154,-0.06851942004117777,-0.06851942004117777,True,G8:135M:T2:mu0.95:corrected:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024
nesterov_corrected:mu0.95,nesterov_corrected,0.95,G8,G8,within_campaign,135M,5,512,2560,0.041003024611748574,0.8200604922349708,0.7943437186947104,0.874330332619188,0.01753017040828117,1.0,0.8200604922349708,-0.286197759999938,-0.286197759999938,True,G8:135M:T5:mu0.95:corrected:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560
nesterov_corrected:mu0.95,nesterov_corrected,0.95,G8,G8,within_campaign,135M,20,512,10240,0.020570182177714384,0.4114036435542873,0.4082971222573911,0.41475629060911684,0.0029148249990268477,1.0,0.4114036435542873,-1.281373523886877,-1.281373523886877,True,G8:135M:T20:mu0.95:corrected:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240
nesterov_raw:mu0.5,nesterov_raw,0.5,TP-pilot,G12;G5B;G5B;G6;G8;TP-v1;TP-v2;TP-v3;TP-v3,cross_campaign,135M,5,512,2560,0.5658723440952337,1.1317446881904674,1.0840848538211236,1.188281908002171,0.007370055687965633,1.96875,0.574854444795158,0.1785485353560156,-0.7987313881439009,True,TP-pilot:135M:T5:mu0.5:raw:H512:S2560,G12:135M:T5:mu0:mu0:H512:S2560;G5B:135M:T5:mu0:snoo-a:H512:S2560;G5B:135M:T5:mu0:snoo-c:H512:S2560;G6:135M:T5:mu0:mu0:H512:S2560;G8:135M:T5:mu0:mu0:H512:S2560;TP-v1:135M:T5:mu0:raw:H512:S2560;TP-v2:135M:T5:mu0:raw:H512:S2560;TP-v3:135M:T5:mu0:corrected:H512:S2560;TP-v3:135M:T5:mu0:raw:H512:S2560
nesterov_raw:mu0.5,nesterov_raw,0.5,TP-v1,TP-v1,within_campaign,135M,10,256,2560,0.5419946762347093,1.0839893524694186,0.9153521503394921,1.1367252188271548,0.04670658494777306,1.9990234375,0.5422594513574425,0.11635058582922923,-0.8829448011941813,False,TP-v1:135M:T10:mu0.5:raw:H256:S2560,TP-v1:135M:T10:mu0:raw:H256:S2560
