source,pair_id,scale,cell_T,H,S,convention,momentum_mu,training_seed,rung,checkpoint_age,global_step,momentum_checkpoint,momentum_size_bytes,momentum_sha256,control_checkpoint,control_size_bytes,control_sha256,status,role
round3,round3-age05,135M,20,512,10240,nesterov_corrected,0.9,313,e1,5,20,/home/c/yeto-mechR3-20260727/trajectory/corrected/state_after_step_00000020.ckpt,1076137912,b81d16335ceba79e71dd5ed2131c2015476c00e4540bd4238be3317fd50a07eb,/home/c/yeto-mechR3-20260727/trajectory/mu0/state_after_step_00000020.ckpt,1076137912,80abf3a6528f12c2c0f96ebc9c8f0492c6c149ca2d17a3497e81b5f3c6034d1a,PROBEABLE,trajectory_diagnostic
round3,round3-age10,135M,20,512,10240,nesterov_corrected,0.9,313,e1,10,40,/home/c/yeto-mechR3-20260727/trajectory/corrected/state_after_step_00000040.ckpt,1076137912,7a27f4c5235ba387919b16e6e53e9b7680f75be22c7338943f0c9cba4c6981e2,/home/c/yeto-mechR3-20260727/trajectory/mu0/state_after_step_00000040.ckpt,1076137912,f1ce70021c42c5ef6825a4a56a9051b17b02760a95d50d63f0cb89d95cb519af,PROBEABLE,trajectory_diagnostic
round3,round3-age15,135M,20,512,10240,nesterov_corrected,0.9,313,e1,15,60,/home/c/yeto-mechR3-20260727/trajectory/corrected/state_after_step_00000060.ckpt,1076137912,7cd0656fe5f269039bf09de398af31c7163977a432f74009097cca511a6e5d74,/home/c/yeto-mechR3-20260727/trajectory/mu0/state_after_step_00000060.ckpt,1076137912,ee93ffec6499367ca9851b435ddcc14869622cbffd0ba5fe883cf8f2bea4d4cd,PROBEABLE,trajectory_diagnostic
round3,round3-age20,135M,20,512,10240,nesterov_corrected,0.9,313,e1,20,80,/home/c/yeto-mechR3-20260727/trajectory/corrected/state_after_step_00000080.ckpt,1076137912,9dc8c5e084aa6ed197375cc0cffe4f0b65ad5026ce7834a18a34794fa0e46697,/home/c/yeto-mechR3-20260727/trajectory/mu0/state_after_step_00000080.ckpt,1076137912,1d7d3a3ee4471e8ae55bfd51d2165823397f1627b2f41186ce7b7625d0fde5b0,PROBEABLE,primary_exact_target
