momentum_point_id,control_point_id,campaign,scale,T,H,S,mu,convention,observed_to_law_ratio,log2_observed_to_law,conservative_marginal_ci_low,conservative_marginal_ci_high,law_required_ratio,note
G6:135M:T5:mu0.9:corrected:H1024:S5120,G6:135M:T5:mu0:mu0:H1024:S5120,G6,135M,5,1024,5120,0.9,nesterov_corrected,0.7932253140132417,-0.33419737619777107,0.779391840380152,0.8169586052025979,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:raw:H2048:S10240,G6:135M:T5:mu0:mu0:H2048:S10240,G6,135M,5,2048,10240,0.9,nesterov_raw,0.49870821182089303,-1.003732136007576,0.48595894018675473,0.513541916714743,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:raw:H512:S2560,G6:135M:T5:mu0:mu0:H512:S2560,G6,135M,5,512,2560,0.9,nesterov_raw,0.5451783399943566,-0.8751998500653665,0.5256925281242916,0.558667009708698,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:raw:H1024:S5120,G6:135M:T5:mu0:mu0:H1024:S5120,G6,135M,5,1024,5120,0.9,nesterov_raw,0.5219261890420693,-0.9380823000314854,0.5073228091573642,0.5387686556040568,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:corrected:H1024:S10240,G6:135M:T10:mu0:mu0:H1024:S10240,G6,135M,10,1024,10240,0.9,nesterov_corrected,0.6286444104220673,-0.669683900331834,0.6122951265058466,0.6428816751008346,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:corrected:H256:S2560,G6:135M:T10:mu0:mu0:H256:S2560,G6,135M,10,256,2560,0.9,nesterov_corrected,0.7605313971287864,-0.3949202867180049,0.7045900340630697,0.7966671982578519,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:corrected:H512:S5120,G6:135M:T10:mu0:mu0:H512:S5120,G6,135M,10,512,5120,0.9,nesterov_corrected,0.7039414678751119,-0.5064726198840718,0.6868164993184666,0.7219599888240743,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:raw:H1024:S10240,G6:135M:T10:mu0:mu0:H1024:S10240,G6,135M,10,1024,10240,0.9,nesterov_raw,0.2095010889169909,-2.2549703522941913,0.20390486183023362,0.21371310108395541,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:raw:H256:S2560,G6:135M:T10:mu0:mu0:H256:S2560,G6,135M,10,256,2560,0.9,nesterov_raw,0.241309944774973,-2.0510407223013942,0.23554800655882452,0.24770715664294557,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:raw:H512:S5120,G6:135M:T10:mu0:mu0:H512:S5120,G6,135M,10,512,5120,0.9,nesterov_raw,0.2263593514443017,-2.143313185899857,0.2217380954994671,0.2308473591320752,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T20:mu0.9:corrected:H512:S10240,G6:135M:T20:mu0:mu0:H512:S10240,G6,135M,20,512,10240,0.9,nesterov_corrected,0.5440407025095719,-0.8782135038675686,0.5301752223087622,0.5585436997600002,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T20:mu0.9:corrected:H128:S2560,G6:135M:T20:mu0:mu0:H128:S2560,G6,135M,20,128,2560,0.9,nesterov_corrected,0.7297100979962349,-0.4546046764456682,0.686129056662468,0.7610181203771484,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T20:mu0.9:corrected:H256:S5120,G6:135M:T20:mu0:mu0:H256:S5120,G6,135M,20,256,5120,0.9,nesterov_corrected,0.6445537718302462,-0.6336273745985801,0.6103603103998624,0.6641316668861456,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T20:mu0.9:raw:H512:S10240,G6:135M:T20:mu0:mu0:H512:S10240,G6,135M,20,512,10240,0.9,nesterov_raw,0.10384689238282543,-3.267470050692939,0.1015917817269803,0.10654420656946255,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T20:mu0.9:raw:H128:S2560,G6:135M:T20:mu0:mu0:H128:S2560,G6,135M,20,128,2560,0.9,nesterov_raw,0.13125083578873367,-2.9296014851796714,0.1269636818121614,0.13491071876641325,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T20:mu0.9:raw:H256:S5120,G6:135M:T20:mu0:mu0:H256:S5120,G6,135M,20,256,5120,0.9,nesterov_raw,0.11846706489893995,-3.077442064550649,0.11286755737340977,0.12153141894782224,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T2:mu0.8:corrected:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024,G8,135M,2,512,1024,0.8,nesterov_corrected,0.9442920783389919,-0.08269492725350983,0.921505953282359,0.9601794285754314,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T2:mu0.8:raw:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024,G8,135M,2,512,1024,0.8,nesterov_raw,0.9431435261475322,-0.08445076014276369,0.9120005346290837,0.9713475206091949,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T2:mu0.95:corrected:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024,G8,135M,2,512,1024,0.95,nesterov_corrected,0.9536161539834256,-0.06851942004116232,0.9258752396548318,0.9808644162418625,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T2:mu0.95:raw:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024,G8,135M,2,512,1024,0.95,nesterov_raw,2.80835314957009,1.4897243655207466,2.7451675199832763,2.880524971951881,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T5:mu0.8:corrected:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560,G8,135M,5,512,2560,0.8,nesterov_corrected,0.8627037235695959,-0.21306291198981508,0.8391794027989666,0.9018938159099514,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T5:mu0.8:raw:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560,G8,135M,5,512,2560,0.8,nesterov_raw,0.41164397486123167,-1.280530985042719,0.4012115265291739,0.43059233025236693,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T5:mu0.95:corrected:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560,G8,135M,5,512,2560,0.95,nesterov_corrected,0.8200604922350179,-0.2861977599998552,0.7943437186947271,0.8743303326192293,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
