point_id,campaign,source_family,scale,parameters,T,H,S,mu,arm,convention,M,law_factor_1_minus_mu_times_M,eta_star,eta_ci_low,eta_ci_high,se_log_eta,fit_status,n_seeds,bootstrap_replicates,bootstrap_invalid,noise_eligible,exploratory,dependence_group,source_file,source_sha256,ci_method,note,eta0_hat_primary,q_hat_primary,eta_pred_primary,normalized_rate,normalized_ci_low,normalized_ci_high,fitted_curve_q_to_T,residual_log,residual_bits,residual_ci_low_bits,residual_ci_high_bits,ci_covers_primary_prediction,standardized_residual_primary
G12:135M:T20:mu0:mu0:H128:S2560,G12,heavy_ball_scan,135M,135000000,20,128,2560,0.0,mu0,mu0,1.0,1.0,0.022606268939187973,0.022545236495676264,0.022721207548071113,0.00198343945798664,INTERIOR,3,10000,0,True,False,G12:T20:mu0,g12-readout.json,0162dbdd2a78492c0b167e2dd516396ab7ea0d1bcb34ac0293abf6abdfc67ae5,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",Heavy-ball terminal multiplier uses geometric prefix through T-1.,0.031350405899186334,0.9875756970034051,0.02441468060007866,0.7210837719895261,0.7191369887897178,0.7247500278349129,0.778767607621702,-0.07695736080622861,-0.1110260027950487,-0.11492626066541807,-0.10370939356360276,False,-38.799954541767
G12:135M:T20:mu0.9:heavy_ball:H128:S2560,G12,heavy_ball_scan,135M,135000000,20,128,2560,0.9,heavy_ball,heavy_ball,8.78423345409431,0.8784233454094307,0.0026091792507678757,0.0025766456289942653,0.0026310640846608628,0.005331717889600431,INTERIOR,3,10000,0,True,False,G12:T20:heavy_ball,g12-readout.json,0162dbdd2a78492c0b167e2dd516396ab7ea0d1bcb34ac0293abf6abdfc67ae5,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",Heavy-ball terminal multiplier uses geometric prefix through T-1.,0.031350405899186334,0.9875756970034051,0.021446425409823826,0.09474512624588366,0.09356375777483308,0.09553981344472254,0.778767607621702,-2.106522275352796,-3.0390692401736144,-3.0571711667378607,-3.027018912404509,False,-395.0925984777981
G5B:135M:T5:mu0:snoo-a:H512:S2560,G5B,SNOO_final_combined,135M,135000000,5,512,2560,0.0,snoo-a,mu0,1.0,1.0,0.018645608767394403,0.018202078282029698,0.019100431787441155,0.012289808120363014,INTERIOR,5,10000,0,True,False,G5B:shared-mu0:a-c,g5b-readout.json,4552330266cf1ab6b59c6e658117872732e6990c65f9ac7b73168db41ca1a446,"source-reported final combined paired 5-seed bootstrap, equal-tailed 95%",Final combined G5B estimator supersedes earlier SNOO analyses.,0.031350405899186334,0.9875756970034051,0.029450667182081548,0.594748560109658,0.580601040399994,0.6092562835984489,0.9394030583459176,-0.45710590104600746,-0.6594644166001562,-0.6941971332959177,-0.6246950651395972,False,-37.19390055314432
G5B:135M:T5:mu0:snoo-c:H512:S2560,G5B,SNOO_final_combined,135M,135000000,5,512,2560,0.0,snoo-c,mu0,1.0,1.0,0.018770470732042282,0.01833400270663485,0.019179805593820966,0.011505447730367777,INTERIOR,5,10000,0,True,False,G5B:shared-mu0:a-c,g5b-readout.json,4552330266cf1ab6b59c6e658117872732e6990c65f9ac7b73168db41ca1a446,"source-reported final combined paired 5-seed bootstrap, equal-tailed 95%",Final combined G5B estimator supersedes earlier SNOO analyses.,0.031350405899186334,0.9875756970034051,0.029450667182081548,0.598731346330972,0.5848091015341746,0.6117881106706423,0.9394030583459176,-0.4504316353386133,-0.6498354865625234,-0.6837785259818567,-0.6187122202679326,False,-39.14942259480545
G5B:135M:T5:mu0.9:snoo-b:H512:S2560,G5B,SNOO_final_combined,135M,135000000,5,512,2560,0.9,snoo-b,nesterov_raw,4.68559,0.46855899999999995,0.004047690314361747,0.003981847915832276,0.004134330551761784,0.009586759160010717,INTERIOR,5,10000,0,True,False,G5B:b,g5b-readout.json,4552330266cf1ab6b59c6e658117872732e6990c65f9ac7b73168db41ca1a446,"source-reported final combined paired 5-seed bootstrap, equal-tailed 95%",Final combined G5B estimator supersedes earlier SNOO analyses.,0.031350405899186334,0.9875756970034051,0.013799375164168947,0.2755496256397035,0.2710673538113369,0.28144772631608383,0.9394030583459176,-1.2264768874898109,-1.7694321233464814,-1.793092918841082,-1.7388772970826507,False,-127.93446325488371
G6:135M:T2:mu0:mu0:H5120:S10240,G6,factorial_T_by_S,135M,135000000,2,5120,10240,0.0,mu0,mu0,1.0,1.0,0.08489870538361341,0.08344987883443121,0.08575443548656166,0.006949518603734899,INTERIOR,3,10000,0,True,False,G6:T2:S10240:mu0,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.03057623136753704,2.7080576135640038,2.6618436489397115,2.7353532762007178,0.9753057573117614,1.0212358900455634,1.473331954146561,1.4484993546490872,1.4878006936870913,False,146.9505944622866
G6:135M:T2:mu0:mu0:H1280:S2560,G6,factorial_T_by_S,135M,135000000,2,1280,2560,0.0,mu0,mu0,1.0,1.0,0.07106462666975855,0.07051888743719907,0.07170928856181248,0.004270411620674009,INTERIOR,3,10000,0,True,False,G6:T2:S2560:mu0,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.03057623136753704,2.266784898998802,2.2493771743806774,2.287348010498123,0.9753057573117614,0.8433667433793932,1.2167210183241257,1.2055991135076758,1.2297494042696486,False,197.4907381987413
G6:135M:T2:mu0:mu0:H2560:S5120,G6,factorial_T_by_S,135M,135000000,2,2560,5120,0.0,mu0,mu0,1.0,1.0,0.07379246262305397,0.07204144413144817,0.07477315731067988,0.00949440781422038,INTERIOR,3,10000,0,True,False,G6:T2:S5120:mu0,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.03057623136753704,2.3537960835450993,2.2979429473134165,2.3850778057269277,0.9753057573117614,0.8810336394768217,1.2710628625295655,1.236416501361433,1.290109852188814,False,92.7950069889816
G6:135M:T2:mu0.9:corrected:H5120:S10240,G6,factorial_T_by_S,135M,135000000,2,5120,10240,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.008113456016830166,0.00799713856254901,0.008262866226721257,0.008338859896852407,INTERIOR,3,10000,0,True,False,G6:T2:S10240:corrected,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.0030576231367537036,2.587990740190303,2.550888364337436,2.63564888227993,0.9753057573117614,0.9758860585560307,1.4079059771514622,1.387073284779725,1.4342317109504927,False,117.02871503146245
G6:135M:T2:mu0.9:corrected:H1280:S2560,G6,factorial_T_by_S,135M,135000000,2,1280,2560,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.006631863119280814,0.006599376919023575,0.0066558708620377246,0.002174545882864066,INTERIOR,3,10000,0,True,False,G6:T2:S2560:corrected,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.0030576231367537036,2.1153994435054315,2.1050371533450725,2.12305731652759,0.9753057573117614,0.7742479167463299,1.117003629908541,1.1099192184624493,1.122216842207237,False,356.05039325570726
G6:135M:T2:mu0.9:corrected:H2560:S5120,G6,factorial_T_by_S,135M,135000000,2,2560,5120,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.0068049521177493254,0.0065799169415747295,0.006971038603265266,0.014730398681269893,INTERIOR,3,10000,0,True,False,G6:T2:S5120:corrected,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.0030576231367537036,2.170610530412923,2.0988299043826752,2.2235879897957536,0.9753057573117614,0.8000127383042579,1.154174410199553,1.1056587726963354,1.188963016594097,False,54.31032490121914
G6:135M:T2:mu0.9:raw:H5120:S10240,G6,factorial_T_by_S,135M,135000000,2,5120,10240,0.9,raw,nesterov_raw,2.7099999999999995,0.2709999999999999,0.034286284427661365,0.03379592452230186,0.03534299579366969,0.01141858098281656,INTERIOR,3,10000,0,True,False,G6:T2:S10240:raw,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.008286158700602536,4.0355986178125125,3.9778817847017494,4.159976718247609,0.9753057573117614,1.4201589069561895,2.0488562123399854,2.0280739243400707,2.0926489759555014,False,124.37262643172029
G6:135M:T2:mu0.9:raw:H1280:S2560,G6,factorial_T_by_S,135M,135000000,2,1280,2560,0.9,raw,nesterov_raw,2.7099999999999995,0.2709999999999999,0.02950787496984494,0.02895522954198435,0.029885921206762065,0.008070729594250635,INTERIOR,3,10000,0,True,False,G6:T2:S2560:raw,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.008286158700602536,3.473165477995574,3.408117451881222,3.5176626551216295,0.9753057573117614,1.2700706795194496,1.832324670921186,1.805048576906064,1.8506906563296988,False,157.36751735855614
G6:135M:T2:mu0.9:raw:H2560:S5120,G6,factorial_T_by_S,135M,135000000,2,2560,5120,0.9,raw,nesterov_raw,2.7099999999999995,0.2709999999999999,0.02994889190010857,0.02914714889866416,0.030547964331387272,0.011974952012801795,INTERIOR,3,10000,0,True,False,G6:T2:S5120:raw,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.008286158700602536,3.5250744947908714,3.4307069363785176,3.595587118599342,0.9753057573117614,1.284905829217729,1.853727267821739,1.814579412598245,1.8823008874016964,False,107.29945538354586
G6:135M:T5:mu0:mu0:H2048:S10240,G6,factorial_T_by_S,135M,135000000,5,2048,10240,0.0,mu0,mu0,1.0,1.0,0.052216102604854146,0.05150383435387472,0.052635802361595624,0.00554609249623639,INTERIOR,3,10000,0,True,False,G6:T5:S10240:mu0,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.029450667182081548,1.6655638454176875,1.6428442591619346,1.6789512241358804,0.9394030583459176,0.5726743617583248,0.8261944617529874,0.8063795243880861,0.8377441229969125,False,103.25726845467233
G6:135M:T5:mu0:mu0:H512:S2560,G6,factorial_T_by_S,135M,135000000,5,512,2560,0.0,mu0,mu0,1.0,1.0,0.04341918114042938,0.04293053058407154,0.04426942635304434,0.007834594804216471,INTERIOR,3,10000,0,True,False,G6:T5:S2560:mu0,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.029450667182081548,1.3849639229569362,1.3693771851670271,1.4120846312293935,0.9394030583459176,0.3881847406504799,0.5600322002852158,0.5437036857875942,0.5880103614270282,False,49.547519731532795
G6:135M:T5:mu0:mu0:H1024:S5120,G6,factorial_T_by_S,135M,135000000,5,1024,5120,0.0,mu0,mu0,1.0,1.0,0.04554074859538401,0.044761206310149,0.046042572234033005,0.007200289993886238,INTERIOR,3,10000,0,True,False,G6:T5:S5120:mu0,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.029450667182081548,1.452636649803822,1.4277711891223306,1.4686435761658827,0.9394030583459176,0.4358909341145383,0.6288576890155023,0.6039485997630113,0.644668116373786,False,60.53796923244105
G6:135M:T5:mu0.9:corrected:H2048:S10240,G6,factorial_T_by_S,135M,135000000,5,2048,10240,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.0038006851986269246,0.003734458120718887,0.003847154612449241,0.0075846002783800485,INTERIOR,3,10000,0,True,False,G6:T5:S10240:corrected,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.002945066718208154,1.212324079901488,1.1911992886879375,1.2271466675170195,0.9394030583459176,0.2550498943190589,0.3679592177133605,0.3425986019499692,0.3854914933868175,False,33.62733498904092
G6:135M:T5:mu0.9:corrected:H512:S2560,G6,factorial_T_by_S,135M,135000000,5,512,2560,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.00360624409974473,0.0035323889459472646,0.0036620544057580874,0.009196573506845147,INTERIOR,3,10000,0,True,False,G6:T5:S2560:corrected,g6-readout.json,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",,0.031350405899186334,0.9875756970034051,0.002945066718208154,1.1503022038506772,1.126744246089313,1.1681043038275727,0.9394030583459176,0.2025353435670758,0.2921967357689627,0.26234388711220336,0.3143529073033569,False,22.022913579315787
