campaign,scale,T,S,H,fit_policy,mu0_fit_status,mu9_fit_status,eta0_star,eta9_star,a1_momentum_grid_position,a1_momentum_boundary_ratio,a1_gain,a1_ci_low,a1_ci_high,a1_label,a1_valid_bootstraps,a2_gain,a2_ci_low,a2_ci_high,a2_label,tuned_gain,tuned_ci_low,tuned_ci_high,tuned_label,tuned_valid_bootstraps,flip_a1,flip_a2,source_sha256
135M v3 T-scan,135M,10,5120,512,strict,INTERIOR,INTERIOR,0.0322515846451114,0.0051226375201121254,above,3.694118308876463,-0.35367395141986213,-0.3747682634608025,-0.332758725436467,HURT,10000,,,,NOT_EVALUABLE,-0.012887310005741615,-0.013915036344132048,-0.011882350333703773,HURT,10000,False,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
135M v3 T-scan,135M,20,10240,512,strict,INTERIOR,INTERIOR,0.027577613352945337,0.0027297607172769058,above,5.37198826744031,-0.29750641419276436,-0.3023434207534659,-0.2909966031341935,HURT,10000,,,,NOT_EVALUABLE,-0.02796819715772436,-0.02899000086057768,-0.026988074673000018,HURT,10000,False,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
135M v3 T-scan,135M,40,20480,512,strict,UNBRACKETED_HIGH,INTERIOR,,0.002844978026507276,not_evaluable,,,,,NOT_EVALUABLE,0,,,,NOT_EVALUABLE,,,,NOT_EVALUABLE,0,,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
135M v6 factorial,135M,2,2560,1280,strict,INTERIOR,INTERIOR,0.07106462666975821,0.029507874969837835,above,1.3088004681091998,-0.05724568570415656,-0.06025337332013159,-0.054759440479627663,HURT,10000,,,,NOT_EVALUABLE,-0.0025766699125950865,-0.0037568092428346134,-0.0008702287482540427,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,2,5120,2560,strict,INTERIOR,INTERIOR,0.07379246262305024,0.0299488919000997,above,1.3236523162187053,-0.06669918353307525,-0.06924418402655075,-0.0639658431130603,HURT,10000,,,,NOT_EVALUABLE,-0.0057676536815134405,-0.0070862992864269,-0.004903916124192165,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,2,10240,5120,strict,INTERIOR,INTERIOR,0.08489870538360338,0.03428628442766886,above,1.4832178549941943,-0.06184518229728919,-0.06534833008664753,-0.05744302589744521,HURT,10000,,,,NOT_EVALUABLE,-0.005762828936136888,-0.0072625171046665216,-0.004939612426920537,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,5,2560,512,strict,INTERIOR,INTERIOR,0.04341918114042959,0.011091352441070394,above,2.163487639255708,-0.13755099748158672,-0.1518941898335835,-0.1260933395998043,HURT,10000,,,,NOT_EVALUABLE,-0.009076627526085623,-0.010977473713673191,-0.006191283706260542,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,5,5120,1024,strict,INTERIOR,INTERIOR,0.04554074859538897,0.011137136401055563,above,2.2101152029015783,-0.1675057615156823,-0.17229986663927832,-0.16353435807136618,HURT,10000,,,,NOT_EVALUABLE,-0.009697165081626657,-0.011316591769966688,-0.008503685438180142,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,5,10240,2048,strict,INTERIOR,INTERIOR,0.05221610260485161,0.012201557101010094,above,2.4680909354822194,-0.17076393276760138,-0.17366195815485996,-0.16531177579887535,HURT,10000,,,,NOT_EVALUABLE,-0.01456450338217019,-0.015784664864379128,-0.013297575317460009,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,10,2560,256,strict,INTERIOR,INTERIOR,0.030567321107090317,0.005061469298690091,above,3.1297638104356102,-0.26598105275982276,-0.2885324732945982,-0.24227311829347187,HURT,10000,,,,NOT_EVALUABLE,-0.011420907400246705,-0.01650192434548936,-0.00816147733124195,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,10,5120,512,strict,INTERIOR,INTERIOR,0.032724321427665966,0.005082917937087462,above,3.2633735725100337,-0.3166179223684491,-0.32194108624891093,-0.3085268778228252,HURT,10000,,,,NOT_EVALUABLE,-0.01280413119520274,-0.0133236335610456,-0.012358345202551746,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,10,10240,1024,strict,INTERIOR,INTERIOR,0.03833901200379948,0.005511517731738185,above,3.7237371410818905,-0.3416055743339532,-0.3460011687728217,-0.33894440680701887,HURT,10000,,,,NOT_EVALUABLE,-0.018982167731421917,-0.02020191812546468,-0.017831637246445542,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,20,2560,128,strict,INTERIOR,INTERIOR,0.02192621866193128,0.002562944780443397,above,4.08835897685888,-0.34029709811836373,-0.35040558230269037,-0.3289779942372886,HURT,10000,,,,NOT_EVALUABLE,-0.00998730663074765,-0.01079966759547224,-0.009334112182155963,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,20,5120,256,strict,INTERIOR,INTERIOR,0.02398038603886706,0.0025300390803687615,above,4.354952358111324,-0.37322664187601884,-0.41716687834941046,-0.32792314691604796,HURT,10000,,,,NOT_EVALUABLE,-0.015025225461921199,-0.019234520618714335,-0.011628009058962885,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
135M v6 factorial,135M,20,10240,512,strict,INTERIOR,INTERIOR,0.030015753832119154,0.002775979090333439,above,5.309069984487927,-0.4457044508441199,-0.4579581860715658,-0.4378062781353669,HURT,10000,,,,NOT_EVALUABLE,-0.02118055300937849,-0.022003589837634507,-0.02003150123919939,HURT,10000,False,,7e7e9cd8901520cc8f0ca822151af92c4c6183ee99bf02199bc1452a2763af8c
1.7B v4-family combined,1.7B,5,2560,512,g4c_near_bracket,INTERIOR,INTERIOR,0.018325769055974134,0.003191644884302601,above,1.6882760339095244,-0.387063566613258,-0.41626566960240563,-0.36225996172184605,HURT,10000,,,,NOT_EVALUABLE,0.024018479023142802,0.016082372312345328,0.03234402558442362,HELP,10000,False,,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
1.7B v4-family combined,1.7B,20,10240,512,g4c_near_bracket,INTERIOR,INTERIOR,0.006420751446982626,0.0008223020084398935,above,2.0576434572707836,-1.0305832473153158,-1.3013763290591536,-0.7917792291555394,HURT,10000,,,,NOT_EVALUABLE,0.005992118100910382,-0.0021425891016457754,0.014515423330147215,NULL,10000,False,,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
