campaign,arm,H,S,T,mu,coordinate,eta_star,eta_ci_low,eta_ci_high,fit_status,interior,bootstrap_invalid,n_seeds,source
v3,corrected,512,20480,40,0.0,S=20480,,,,UNBRACKETED_HIGH,False,10000,5,fresh v3 raw results.jsonl
v3,corrected,512,20480,40,0.9,S=20480,,,,NONCONVEX,False,10000,5,fresh v3 raw results.jsonl
v3,raw,512,1024,2,0.0,S=1024,0.07766526318797157,0.07565911329028183,0.07992790927895596,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,1024,2,0.9,S=1024,0.03236670747670132,0.03175358499995223,0.03309868702242877,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,2560,5,0.0,S=2560,0.04368465066903625,0.043217304182502185,0.044122600384647485,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,2560,5,0.9,S=2560,0.011213071024992464,0.010980028499783506,0.011509975640344762,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,5120,10,0.0,S=5120,0.03225158464590506,0.031921217934271884,0.03263244405798116,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,5120,10,0.9,S=5120,0.00512263751982993,0.005063916841064906,0.005204064493524694,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,10240,20,0.0,S=10240,0.027577613353225165,0.027265598491109204,0.027911578085926016,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,10240,20,0.9,S=10240,0.0027297607173336846,0.0027090480201665446,0.0027536032517479843,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,raw,512,20480,40,0.0,S=20480,,,,UNBRACKETED_HIGH,False,10000,5,fresh v3 raw results.jsonl
v3,raw,512,20480,40,0.9,S=20480,0.0028449780240488113,0.0026907142060222673,0.0030962942759560456,INTERIOR,True,0,5,fresh v3 raw results.jsonl
v3,snoo-a,512,2560,5,0.0,SNOO subarm a,,0.6092403406899597,0.6335551621333161,UNBRACKETED_LOW,False,9411,5,fresh v3 raw results.jsonl
v3,snoo-b,512,2560,5,0.9,SNOO subarm b,,,,NONCONVEX,False,10000,5,fresh v3 raw results.jsonl
v3,snoo-c,512,2560,5,0.0,SNOO subarm c,,0.5946415702156397,0.604469648482844,UNBRACKETED_LOW,False,9765,5,fresh v3 raw results.jsonl
